N;Номенклатура;Количество;Цена;
774;VACUUM CLEANER UAKEEN ZZ-25017 PYLESOS;1,000;68,00;
775;VACUUM CLEANER VC18M21A0SB/EV;2,000;60,67;
776;VACUUM CLEANER VC18M3120VB/EV;5,000;65,80;
777;VACUUM CLEANER VC18M31A0HP/EV;2,000;67,00;
778;VACUUM CLEANER VC20M253AWR/EV;3,000;54,20;
779;VACUUM CLEANER VC20M2540JN/EV;3,000;66,31;
780;VACUUM CLEANER VC20M255AWB/EV;3,000;58,00;
781;VACUUM CLEANER VCC4520S3S/XEV;1,000;47,54;
782;VACUUM CLEANER VCC8874H35/XEV;1,000;90,84;
783;VACUUM CLEANER Weltoz WZ-630 25 litr PYLESOS;1,000;37,50;
784;VGR V-140 MASHYNKA DLYA STRIJKI ;1,000;19,80;
785;VGR V-308 ELEKTROBRITWA;1,000;12,00;
786;VGR V-320 elektrobritwa;1,000;15,10;
787;VGR V-335 elektrobritwa;1,000;15,60;
788;VGR V-336 ELEKTROBRITWA;1,000;15,10;
789;VGR V-340 MASHYNKA DLYA STRIJKI;1,000;10,60;
790;VGR V-385 MASHYNKA DLYA STRIJKI  ;1,000;13,60;
791;VGR V-388 ELEKTROBRITWA;1,000;20,60;
792;VGR V-399 elektrobritwa;1,000;12,80;
793;VGR V-401 FEN;2,000;36,50;
794;VGR V-415 PROFESSIONALNY TERMO FEN ;1,000;11,00;
795;VGR V-450 FEN;2,000;13,90;
796;VGR V-461 FEN ;1,000;11,70;
797;VGR V-474 4 IN 1 1100W FEN-SHYOTKA DLYA WOLOS;1,000;44,20;
798;VGR V-510 SACH UTUG;1,000;8,90;
799;VGR V-518 SACH UTUG;1,000;7,40;
800;VGR V-519C SACH UTUG;1,000;7,80;
801;VGR V-583 220C SACH UTUG DLYA UKLADKI WOLOS ;1,000;17,60;
802;VGR V-625 TRIMER (ELEKTROBRITWA);1,000;8,00;
803;VGR V-640 S3 MASHYNKA DLYA STRIJKI;1,000;50,00;
804;VGR V-713 EPILYATOR;1,000;8,80;
805;VGR V-733 EPILYATOR 3IN1 ;1,000;13,00;
806;VGR V-752 EPILYATOR 5 IN1 ;1,000;14,70;
807;VGR V-758 EPILYATOR;1,000;8,00;
808;VITEK VT-8130 (plesos);1,000;10,00;
809;WIRELESS REPEATER MERCUSYS NW300RE 1xLAN 100MPBS/2x ANT 300MBPS/2.4GHZ/WHITE (NETNW300RE);1,000;13,00;
810;WIRELESS REPEATER TENDA A9 /2xANT/100MB/S/2.4GHZ/WHITE (NETTA9);1,000;13,00;
811;WIRELESS REPEATER TP-LINK TL-WA801ND 1xLAN 100MBPS/2xANT 300MBPS/2.4GHZ/WHITE [TL-WA801ND] (NETTPLWA;1,000;18,00;
812;WIRELESS ROUTER TENDA 4G09 4G LTE 1xWAN/1xLAN 300MBPS/2xANT 300MBPS/2.4GHZ/5.8HZ/WHITE (NET4G09);1,000;90,00;
813;WIRELESS ROUTER TP-LINK TL-MR100 4G LTE 1xWAN/2xLAN 300MBPS/2xANT 300MBPS/2.4GHZ/BLACK (NETTMR100);1,000;39,00;
814;WIRELESS USB ADAPTER TP-LINK TL-WN823N WITHOUT ANT 300MBPS/2.4GHZ/MINI BLACK [TL-WN823N] (NETADTPTLW;1,000;7,00;
815;YALI A1-60 PYCHAK KITAP ;2,000;5,10;
